"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","zfs_jbod_00",,,,"User:","root"
"Cmdline:","dstat -tcmdD total --output dstat.output",,,,"Date:","27 Mar 2019 03:58:56 EDT"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ"
27-03 03:58:56,1.082,0.907,97.733,0.256,0.0,0.023,8137281536.0,0.0,66281963520.0,1412345856.0,7615139.780,14360750.853
27-03 03:58:57,0.125,0.0,99.875,0.0,0.0,0.0,8137273344.0,0.0,66281963520.0,1412354048.0,0.0,0.0
27-03 03:58:58,0.187,0.0,99.813,0.0,0.0,0.0,8137273344.0,0.0,66281963520.0,1412354048.0,0.0,0.0
27-03 03:58:59,0.125,0.062,99.812,0.0,0.0,0.0,8137273344.0,0.0,66281963520.0,1412354048.0,0.0,0.0
27-03 03:59:00,0.250,0.0,99.750,0.0,0.0,0.0,8137494528.0,0.0,66281967616.0,1412128768.0,0.0,0.0
27-03 03:59:01,0.125,0.0,99.875,0.0,0.0,0.0,8137510912.0,0.0,66281967616.0,1412112384.0,0.0,0.0
27-03 03:59:02,0.125,0.062,99.812,0.0,0.0,0.0,8137494528.0,0.0,66281967616.0,1412128768.0,0.0,0.0
27-03 03:59:03,0.125,0.0,99.875,0.0,0.0,0.0,8137494528.0,0.0,66281967616.0,1412128768.0,0.0,0.0
27-03 03:59:04,0.125,0.0,99.875,0.0,0.0,0.0,8137494528.0,0.0,66281967616.0,1412128768.0,0.0,0.0
27-03 03:59:05,0.125,0.062,99.812,0.0,0.0,0.0,8137494528.0,0.0,66281967616.0,1412128768.0,0.0,0.0
27-03 03:59:06,0.188,0.0,99.812,0.0,0.0,0.0,8137494528.0,0.0,66281967616.0,1412128768.0,0.0,0.0
27-03 03:59:07,0.125,0.063,99.812,0.0,0.0,0.0,8137494528.0,0.0,66281967616.0,1412128768.0,16384.0,0.0
27-03 03:59:08,0.125,0.0,99.875,0.0,0.0,0.0,8137494528.0,0.0,66281967616.0,1412128768.0,0.0,0.0
