"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","zfs_jbod_00",,,,"User:","root"
"Cmdline:","dstat -tcmdD total --output dstat_100g_copy_vector_on.output",,,,"Date:","27 Mar 2019 04:14:11 EDT"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ"
27-03 04:14:11,1.082,0.908,97.732,0.256,0.0,0.023,2981261312.0,0.0,67792678912.0,5057650688.0,7614822.178,14368791.011
27-03 04:14:12,0.125,0.0,99.875,0.0,0.0,0.0,2981261312.0,0.0,67792678912.0,5057650688.0,0.0,0.0
27-03 04:14:13,0.125,0.062,99.812,0.0,0.0,0.0,2981261312.0,0.0,67792678912.0,5057650688.0,0.0,83968.0
27-03 04:14:14,0.190,17.699,77.686,4.172,0.0,0.253,4150034432.0,0.0,67792728064.0,3888828416.0,53248.0,427569152.0
27-03 04:14:15,0.253,22.096,72.348,4.987,0.0,0.316,4856840192.0,0.0,68103372800.0,2871377920.0,0.0,426262528.0
27-03 04:14:16,0.188,11.097,82.884,5.580,0.0,0.251,5591977984.0,0.0,68416434176.0,1823178752.0,0.0,300048384.0
27-03 04:14:17,0.127,9.663,84.615,5.404,0.0,0.191,5697916928.0,0.0,68416417792.0,1717256192.0,0.0,356843520.0
27-03 04:14:18,0.126,9.125,84.959,5.538,0.0,0.252,5756858368.0,0.0,68416417792.0,1658314752.0,0.0,318353408.0
27-03 04:14:19,0.189,7.129,86.814,5.678,0.0,0.189,5788200960.0,0.0,68416417792.0,1626972160.0,0.0,259579904.0
27-03 04:14:20,0.127,8.365,85.741,5.513,0.0,0.253,5784637440.0,0.0,68416417792.0,1630535680.0,0.0,312803328.0
27-03 04:14:21,0.254,27.238,68.381,3.619,0.0,0.508,6275178496.0,0.0,69003812864.0,552599552.0,0.0,679587840.0
27-03 04:14:22,0.254,23.888,70.775,4.638,0.0,0.445,5944004608.0,0.0,69318897664.0,568688640.0,28672.0,627109888.0
27-03 04:14:23,0.127,15.990,78.299,5.203,0.0,0.381,6096830464.0,0.0,69436149760.0,298610688.0,0.0,466939904.0
27-03 04:14:24,0.190,11.668,82.435,5.517,0.0,0.190,6268567552.0,0.0,69264601088.0,298422272.0,0.0,404635648.0
27-03 04:14:25,0.126,14.565,79.634,5.422,0.0,0.252,5728403456.0,0.0,69513936896.0,589250560.0,16384.0,289148928.0
27-03 04:14:26,0.189,10.656,83.417,5.485,0.0,0.252,5904322560.0,0.0,69436502016.0,490766336.0,0.0,365764608.0
27-03 04:14:27,0.190,18.211,76.396,4.886,0.0,0.317,5747318784.0,0.0,69452476416.0,631795712.0,12288.0,531271680.0
27-03 04:14:28,0.191,31.489,63.613,4.198,0.0,0.509,5949431808.0,0.0,68825108480.0,1057050624.0,0.0,711770112.0
27-03 04:14:29,0.190,27.048,67.492,4.762,0.0,0.508,7181275136.0,0.0,68356833280.0,293482496.0,0.0,707043328.0
27-03 04:14:30,0.190,27.422,67.638,4.243,0.0,0.507,6397964288.0,0.0,67811217408.0,1622409216.0,28672.0,607412224.0
27-03 04:14:31,0.190,22.552,71.889,4.991,0.0,0.379,7176208384.0,0.0,68259258368.0,396124160.0,0.0,600375296.0
27-03 04:14:32,0.127,9.288,84.733,5.534,0.0,0.318,7343497216.0,0.0,68184875008.0,303218688.0,0.0,354201600.0
27-03 04:14:33,0.126,8.580,85.363,5.741,0.0,0.189,7425736704.0,0.0,68087820288.0,318033920.0,0.0,290881536.0
27-03 04:14:34,0.189,7.813,86.074,5.734,0.0,0.189,7469486080.0,0.0,67979255808.0,382849024.0,0.0,261947392.0
27-03 04:14:35,0.252,12.610,81.526,5.422,0.0,0.189,6965157888.0,0.0,68109832192.0,756600832.0,16384.0,257777664.0
27-03 04:14:36,0.127,16.170,77.806,5.580,0.0,0.317,7944146944.0,0.0,67582513152.0,304930816.0,0.0,292265984.0
27-03 04:14:37,0.189,9.653,84.290,5.741,0.0,0.126,8021856256.0,0.0,67513339904.0,296394752.0,0.0,291770368.0
27-03 04:14:38,0.126,3.268,90.509,5.971,0.0,0.126,8056619008.0,0.0,67446304768.0,328667136.0,0.0,116744192.0
27-03 04:14:39,0.188,3.323,90.345,6.082,0.0,0.063,8104488960.0,0.0,67386658816.0,340443136.0,0.0,106754048.0
27-03 04:14:40,0.126,4.714,89.126,5.908,0.0,0.126,8142082048.0,0.0,67312480256.0,377028608.0,0.0,157741056.0
